sku,name,price,qty,year,capacity,power,horsepower,engcode
630347.0,JAGUAR X-TYPE 2.0 (14),0.00,1.00,2004,2099CC,115KW,156CP,SAJG52S05YE19720
630326.0,AUDI A4 1.9TDI (20),0.00,3.00,1998,1896CC,81KW,110CP,WAUZZZ8DZXA067466
630327.0,AUDI A6 1.9TDI (41),0.00,1.00,2000,1896CC,81KW,110CP,WAUZZZ4BZYN135429
630332.0,BMW 320D 2.0 (10),0.00,1.00,2002,1995CC,110KW,150CP,WBAAS72070FY57205
630333.0,BMW 320D 2.0 (25),0.00,1.00,2001,1951CC,100KW,136CP,WBAAL72009AK82292
630334.0,BMW 520I 2.0 (17),0.00,1.00,1997,1951CC,110KW,150CP,WBADH12020BY52008
630335.0,CITROEN XSARA PICASSO (36),0.00,1.00,2002,1997CC,66KW,90CP,VF7CHRHYB39330003
630336.0,FIAT DUCATO 2.8 (48),0.00,1.00,2001,2800CC,64KW,87CP,ZFA23000006143849
630337.0,FORD FOCUS 1 1.6 16V (64),0.00,1.00,2004,1596CC,74KW,100CP,WF0AXXWPDA4A63485
630338.0,FORD FOCUS 1 1.8TDDi (18),0.00,1.00,2003,1753CC,55KW,75CP,WF0NXXGCDN3L46597
630339.0,FORD FOCUS 1 1.8TDCi (62),0.00,1.00,2003,1753CC,74KW,100CP,WF0AXXGCDA3J45658
630331.0,BMW 318I 1.9 (63),0.00,1.00,2001,1895CC,87KW,118CP,WBAAL32080FX48449
630340.0,FORD FOCUS 1 1.8TDDi (53),0.00,1.00,2000,1753CC,66KW,90CP,WF0NXXGCDNYY47105
630341.0,FORD FOCUS 2 1.6TDCi (30),0.00,1.00,2006,1560CC,66KW,90CP,WF0WXXGCDW6T32603
630342.0,FORD MONDEO 3 1.8 16V (56),0.00,1.00,2001,1798CC,92KW,125CP,WF05XXGBB51D82644
630343.0,FORD MONDEO 3 2.0 TDCi (21),0.00,1.00,2004,1998CC,85KW,115CP,WF05XXGBB54S84940
630344.0,FORD MONDEO 3 2.0 TDDi (57),0.00,1.00,2001,1998CC,85KW,115CP,WF04XXGBB41D84637
630345.0,FORD FOCUS 2 1.6TDCi (67),0.00,1.00,2005,1560CC,80KW,109CP,WF05XXWPD55D39374
630346.0,FORD FOCUS 1 1.8TDCi (52),0.00,1.00,2004,1753CC,85KW,115CP,WF0BXXGCDB4A59653
630348.0,LAND ROVER FREELANDER 1.8 - VERDE 624 (3),0.00,1.00,1999,1796CC,88KW,120CP,SALLNABA7XA682705
630349.0,LAND ROVER FREELANDER 1.8 - VERDE INCHIS 961 (4),0.00,1.00,2001,1796CC,86KW,117CP,SALLNAAA71A304848
630350.0,LAND ROVER FREELANDER 2.0 ROVER - ARGINTIU 642 (7),0.00,1.00,2000,1994CC,72KW,98CP,SALLNABE71A586719
630351.0,LAND ROVER FREELANDER 2.0TD4 - NEGRU 697 (9),0.00,1.00,2003,1951CC,80KW,109CP,SALLNANE72A389155
630352.0,LAND ROVER FREELANDER 2.0TD4 - ALBASTRU 644 (58),0.00,1.00,2002,1951CC,NULL,NULL,SALLNABE12A384814
