ID,ID_UM_MINIMA,COD_INTERN,DENUMIRE,PRET_LISTA,PRET_VANZ_MAG,GRAMAJ_UNITATEA_MINIMA,ORDINE_AFISARE,XDISC_PROMO,XTVA,XADAOS,PRODUS_ACTIV,ACOPERIRE,COD_BARE,COMENT,EXPL,PRET_LISTA_EURO,PAGINA_CATALOG,LINK_DISK,FIELD_1,FIELD_2,STOC_COMANDAT_CLN,STOC_COMANDAT_FUR,STOC_CURENT,STOC_REZERVAT,STOC_ASIGURAT,PARENT_ID,SOURCE_ID
630347,4,cod nou142.0,JAGUAR X-TYPE 2.0 (14),0,0,0,999999999,0,24,0,1,18,630347,NULL,"2004, 2099CC, 115KW, 156CP, SAJG52S05YE19720",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630326,4,cod nou201,AUDI A4 1.9TDI (20),0,0,0,999999999,0,24,0,1,18,630326,NULL,"1998, 1896CC, 81KW, 110CP, WAUZZZ8DZXA067466",0,NULL,NULL,NULL,NULL,0,0,3,0,0,NULL,NULL
630327,4,cod nou411,AUDI A6 1.9TDI (41),0,0,0,999999999,0,24,0,1,18,630327,NULL,"2000, 1896CC, 81KW, 110CP, WAUZZZ4BZYN135429",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630332,4,cod nou103.0,BMW 320D 2.0 (10),0,0,0,999999999,0,24,0,1,18,630332,NULL,"2002, 1995CC, 110KW, 150CP, WBAAS72070FY57205",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630333,4,cod nou251,BMW 320D 2.0 (25),0,0,0,999999999,0,24,0,1,18,630333,NULL,"2001, 1951CC, 100KW, 136CP, WBAAL72009AK82292",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630334,4,cod nou171,BMW 520I 2.0 (17),0,0,0,999999999,0,24,0,1,18,630334,NULL,"1997, 1951CC, 110KW, 150CP, WBADH12020BY52008",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630335,4,cod nou362.0,CITROEN XSARA PICASSO (36),0,0,0,999999999,0,24,0,1,18,630335,NULL,"2002, 1997CC, 66KW, 90CP, VF7CHRHYB39330003",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630336,4,cod nou482.0,FIAT DUCATO 2.8 (48),0,0,0,999999999,0,24,0,1,18,630336,NULL,"2001, 2800CC, 64KW, 87CP, ZFA23000006143849",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630337,4,cod nou641,FORD FOCUS 1 1.6 16V (64),0,0,0,999999999,0,24,0,1,18,630337,NULL,"2004, 1596CC, 74KW, 100CP, WF0AXXWPDA4A63485",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630338,4,cod nou181,FORD FOCUS 1 1.8TDDi (18),0,0,0,999999999,0,24,0,1,18,630338,NULL,"2003, 1753CC, 55KW, 75CP, WF0NXXGCDN3L46597",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
